EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VS6TI00,瑞光路295號前,往南,2016-11-15,17:00:00,1,536.0,563.0,54.0,482.0,0.0,23.39,13.9,88.22
VS6TI00,瑞光路295號前,往南,2016-11-15,18:00:00,1,569.0,593.5,49.0,520.0,0.0,22.26,15.12,86.13
VS6TI00,瑞光路295號前,往南,2016-11-15,19:00:00,1,626.0,692.58624,87.0,539.0,0.0,20.29,20.37,63.56
VS6TI00,瑞光路295號前,往南,2016-11-15,20:00:00,1,461.0,493.9655,33.0,428.0,0.0,22.269999,13.6,92.27
VS6TI00,瑞光路295號前,往南,2016-11-15,21:00:00,1,360.0,387.4576,42.0,318.0,0.0,24.92,9.21,130.75
VS6TI00,瑞光路295號前,往南,2016-11-15,22:00:00,1,287.0,297.0,20.0,267.0,0.0,25.89,6.8,150.52
VS6TI00,瑞光路295號前,往南,2016-11-15,23:00:00,1,192.0,202.5,21.0,171.0,0.0,26.72,4.53,180.03
VS6TI00,瑞光路295號前,往南,2016-11-16,00:00:00,1,144.0,152.5,17.0,127.0,0.0,25.78,3.35,208.83
VS6TI00,瑞光路295號前,往南,2016-11-16,01:00:00,1,60.0,61.5,3.0,57.0,0.0,27.1,1.17,245.13
VS6TI00,瑞光路295號前,往南,2016-11-16,02:00:00,1,35.0,35.5,1.0,34.0,0.0,26.49,0.62,248.2
VS6TI00,瑞光路295號前,往南,2016-11-16,03:00:00,1,35.0,37.0,4.0,31.0,0.0,26.91,0.78,248.95
VS6TI00,瑞光路295號前,往南,2016-11-16,04:00:00,1,22.0,23.0,2.0,20.0,0.0,29.05,0.4,250.0
VS6TI00,瑞光路295號前,往南,2016-11-16,05:00:00,1,25.0,25.5,1.0,24.0,0.0,27.88,0.42,249.03
VS6TI00,瑞光路295號前,往南,2016-11-16,06:00:00,1,43.0,44.0,2.0,41.0,0.0,25.91,1.0,249.05
VS6TI00,瑞光路295號前,往南,2016-11-16,07:00:00,1,114.0,119.5,11.0,103.0,0.0,25.04,2.67,226.45
VS6TI00,瑞光路295號前,往南,2016-11-16,08:00:00,1,315.0,335.5,41.0,274.0,0.0,26.45,7.57,141.3
VS6TI00,瑞光路295號前,往南,2016-11-16,09:00:00,1,547.0,575.5,57.0,490.0,0.0,24.48,14.32,84.82
VS6TI00,瑞光路295號前,往南,2016-11-16,10:00:00,1,638.0,671.5,67.0,571.0,0.0,22.62,16.53,80.87
VS6TI00,瑞光路295號前,往南,2016-11-16,11:00:00,1,597.0,625.0,56.0,541.0,0.0,25.02,15.2,83.25
VS6TI00,瑞光路295號前,往南,2016-11-16,12:00:00,1,576.0,600.5,49.0,527.0,0.0,23.59,14.52,85.38
VS6TI00,瑞光路295號前,往南,2016-11-16,13:00:00,1,562.0,589.5,55.0,507.0,0.0,23.59,14.88,98.23
VS6TI00,瑞光路295號前,往南,2016-11-16,14:00:00,1,652.0,693.05084,59.0,593.0,0.0,22.08,18.13,66.81
VS6TI00,瑞光路295號前,往南,2016-11-16,15:00:00,1,664.0,689.0,50.0,614.0,0.0,21.84,16.57,75.18
VS6TI00,瑞光路295號前,往南,2016-11-16,16:00:00,1,679.0,710.0,62.0,617.0,0.0,22.76,18.88,71.73
VS6TI00,瑞光路295號前,往南,2016-11-16,17:00:00,1,648.0,679.5,63.0,585.0,0.0,24.0,16.53,71.5
VS6TI00,瑞光路295號前,往南,2016-11-16,18:00:00,1,585.0,612.5,55.0,530.0,0.0,23.49,15.47,72.45
VS6TI00,瑞光路295號前,往南,2016-11-16,19:00:00,1,575.0,614.23724,58.0,517.0,0.0,22.05,16.02,67.15
VS6TI00,瑞光路295號前,往南,2016-11-16,20:00:00,1,482.0,506.0,48.0,434.0,0.0,23.05,12.18,99.92
VS6TI00,瑞光路295號前,往南,2016-11-16,21:00:00,1,417.0,437.0,40.0,377.0,0.0,23.89,10.05,126.78
VS6TI00,瑞光路295號前,往南,2016-11-16,22:00:00,1,306.0,338.94736,32.0,274.0,0.0,23.48,8.61,138.63
VS6TI00,瑞光路295號前,往南,2016-11-16,23:00:00,1,210.0,221.0,22.0,188.0,0.0,24.73,4.88,177.68
VS6TI00,瑞光路295號前,往南,2016-11-17,00:00:00,1,98.0,107.0,18.0,80.0,0.0,25.05,2.45,226.15
VS6TI00,瑞光路295號前,往南,2016-11-17,01:00:00,1,67.0,71.0,8.0,59.0,0.0,26.88,1.58,240.38
VS6TI00,瑞光路295號前,往南,2016-11-17,02:00:00,1,49.0,50.0,2.0,47.0,0.0,24.88,0.92,244.23
VS6TI00,瑞光路295號前,往南,2016-11-17,03:00:00,1,33.0,34.0,2.0,31.0,0.0,28.7,0.62,248.0
VS6TI00,瑞光路295號前,往南,2016-11-17,04:00:00,1,21.0,22.5,3.0,18.0,0.0,29.05,0.4,250.0
VS6TI00,瑞光路295號前,往南,2016-11-17,05:00:00,1,26.0,26.0,0.0,26.0,0.0,30.46,0.42,250.0
VS6TI00,瑞光路295號前,往南,2016-11-17,06:00:00,1,54.0,55.5,3.0,51.0,0.0,26.5,1.05,246.2
VS6TI00,瑞光路295號前,往南,2016-11-17,07:00:00,1,136.0,145.0,18.0,118.0,0.0,24.62,4.08,205.95
VS6TI00,瑞光路295號前,往南,2016-11-17,08:00:00,1,286.0,300.0,28.0,258.0,0.0,25.96,6.68,152.85
VS6TI00,瑞光路295號前,往南,2016-11-17,09:00:00,1,550.0,578.5,57.0,493.0,0.0,23.61,14.07,90.5
VS6TI00,瑞光路295號前,往南,2016-11-17,10:00:00,1,592.0,622.5,61.0,531.0,0.0,23.05,15.28,77.32
VS6TI00,瑞光路295號前,往南,2016-11-17,11:00:00,1,573.0,599.0,52.0,521.0,0.0,24.19,14.33,83.23
VS6TI00,瑞光路295號前,往南,2016-11-17,12:00:00,1,495.0,515.0,40.0,455.0,0.0,25.59,12.57,99.93
VS6TI00,瑞光路295號前,往南,2016-11-17,13:00:00,1,517.0,534.0,34.0,483.0,0.0,25.95,12.2,88.52
VS6TI00,瑞光路295號前,往南,2016-11-17,14:00:00,1,595.0,620.0,50.0,545.0,0.0,23.8,15.98,79.33
VS6TI00,瑞光路295號前,往南,2016-11-17,15:00:00,1,764.0,790.5,53.0,711.0,0.0,22.74,19.28,67.18
VS6TI00,瑞光路295號前,往南,2016-11-17,16:00:00,1,616.0,641.5,51.0,565.0,0.0,24.96,15.07,77.53
VS6TI00,瑞光路295號前,往南,2016-11-17,17:00:00,1,580.0,605.5,51.0,529.0,0.0,23.73,14.73,86.43
VS6TI00,瑞光路295號前,往南,2016-11-17,18:00:00,1,627.0,667.0,80.0,547.0,0.0,20.22,17.87,66.45
VS6TI00,瑞光路295號前,往南,2016-11-17,19:00:00,1,642.0,688.98303,71.0,571.0,0.0,21.69,18.38,57.08
VS6TI00,瑞光路295號前,往南,2016-11-17,20:00:00,1,501.0,521.5,41.0,460.0,0.0,23.72,12.72,93.6
VS6TI00,瑞光路295號前,往南,2016-11-17,21:00:00,1,418.0,442.0,48.0,370.0,0.0,24.63,10.65,116.88
VS6TI00,瑞光路295號前,往南,2016-11-17,22:00:00,1,280.0,294.0,28.0,252.0,0.0,25.12,6.58,148.73
VS6TI00,瑞光路295號前,往南,2016-11-17,23:00:00,1,244.0,255.0,22.0,222.0,0.0,25.89,5.52,166.7
VS6TI00,瑞光路295號前,往南,2016-11-18,00:00:00,1,111.0,117.0,12.0,99.0,0.0,25.82,2.42,222.3
VS6TI00,瑞光路295號前,往南,2016-11-18,01:00:00,1,60.0,63.0,6.0,54.0,0.0,24.72,1.27,240.55
VS6TI00,瑞光路295號前,往南,2016-11-18,02:00:00,1,36.0,36.5,1.0,35.0,0.0,26.53,0.63,249.03
VS6TI00,瑞光路295號前,往南,2016-11-18,03:00:00,1,33.0,35.0,4.0,29.0,0.0,26.64,0.7,249.02
VS6TI00,瑞光路295號前,往南,2016-11-18,04:00:00,1,15.0,16.0,2.0,13.0,0.0,27.0,0.3,250.0
VS6TI00,瑞光路295號前,往南,2016-11-18,05:00:00,1,29.0,29.5,1.0,28.0,0.0,28.03,0.47,249.03
VS6TI00,瑞光路295號前,往南,2016-11-18,06:00:00,1,54.0,55.5,3.0,51.0,0.0,28.3,0.93,244.3
VS6TI00,瑞光路295號前,往南,2016-11-18,07:00:00,1,128.0,135.5,15.0,113.0,0.0,26.05,3.02,216.82
VS6TI00,瑞光路295號前,往南,2016-11-18,08:00:00,1,345.0,365.5,41.0,304.0,0.0,23.98,8.88,138.57
VS6TI00,瑞光路295號前,往南,2016-11-18,09:00:00,1,560.0,586.5,53.0,507.0,0.0,23.51,14.42,79.58
VS6TI00,瑞光路295號前,往南,2016-11-18,10:00:00,1,552.0,577.0,50.0,502.0,0.0,23.81,13.77,88.05
VS6TI00,瑞光路295號前,往南,2016-11-18,11:00:00,1,539.0,568.0,58.0,481.0,0.0,25.24,14.32,88.58
VS6TI00,瑞光路295號前,往南,2016-11-18,12:00:00,1,538.0,591.5789,48.0,490.0,0.0,22.97,14.7,93.08
VS6TI00,瑞光路295號前,往南,2016-11-18,13:00:00,1,530.0,551.5,43.0,487.0,0.0,22.58,13.68,93.1
VS6TI00,瑞光路295號前,往南,2016-11-18,14:00:00,1,586.0,610.5,49.0,537.0,0.0,23.29,15.75,82.72
VS6TI00,瑞光路295號前,往南,2016-11-18,15:00:00,1,721.0,751.0,60.0,661.0,0.0,20.33,20.15,64.55
VS6TI00,瑞光路295號前,往南,2016-11-18,16:00:00,1,652.0,682.5,61.0,591.0,0.0,23.01,17.28,76.67
VS6TI00,瑞光路295號前,往南,2016-11-18,17:00:00,1,645.0,674.0,58.0,587.0,0.0,22.49,16.92,72.08
VS6TI00,瑞光路295號前,往南,2016-11-18,18:00:00,1,559.0,584.0,50.0,509.0,0.0,23.67,14.37,65.5
VS6TI00,瑞光路295號前,往南,2016-11-18,19:00:00,1,705.0,754.06775,73.0,632.0,0.0,20.39,21.2,48.8
VS6TI00,瑞光路295號前,往南,2016-11-18,20:00:00,1,527.0,552.5,51.0,476.0,0.0,23.76,13.77,85.33
VS6TI00,瑞光路295號前,往南,2016-11-18,21:00:00,1,397.0,414.5,35.0,362.0,0.0,25.48,9.72,118.92
VS6TI00,瑞光路295號前,往南,2016-11-18,22:00:00,1,308.0,324.0,32.0,276.0,0.0,25.48,7.62,144.32
VS6TI00,瑞光路295號前,往南,2016-11-18,23:00:00,1,247.0,258.5,23.0,224.0,0.0,26.0,5.78,167.67
VS6TI00,瑞光路295號前,往南,2016-11-19,00:00:00,1,162.0,171.5,19.0,143.0,0.0,25.710001,4.22,191.0
VS6TI00,瑞光路295號前,往南,2016-11-19,01:00:00,1,89.0,90.5,3.0,86.0,0.0,25.670002,1.85,229.47
VS6TI00,瑞光路295號前,往南,2016-11-19,02:00:00,1,58.0,58.5,1.0,57.0,0.0,25.98,1.12,242.13
VS6TI00,瑞光路295號前,往南,2016-11-19,03:00:00,1,38.0,39.5,3.0,35.0,0.0,27.87,0.68,246.25
VS6TI00,瑞光路295號前,往南,2016-11-19,04:00:00,1,40.0,41.0,2.0,38.0,0.0,26.45,0.77,246.33
VS6TI00,瑞光路295號前,往南,2016-11-19,05:00:00,1,26.0,26.5,1.0,25.0,0.0,26.0,0.47,249.02
VS6TI00,瑞光路295號前,往南,2016-11-19,06:00:00,1,43.0,44.5,3.0,40.0,0.0,24.4,1.37,247.33
VS6TI00,瑞光路295號前,往南,2016-11-19,07:00:00,1,81.0,87.0,12.0,69.0,0.0,27.25,1.78,241.48
VS6TI00,瑞光路295號前,往南,2016-11-19,08:00:00,1,104.0,113.0,18.0,86.0,0.0,26.100002,2.5,225.87
VS6TI00,瑞光路295號前,往南,2016-11-19,09:00:00,1,212.0,222.5,21.0,191.0,0.0,25.85,5.5,172.08
VS6TI00,瑞光路295號前,往南,2016-11-19,10:00:00,1,264.0,275.0,22.0,242.0,0.0,26.83,5.68,157.22
VS6TI00,瑞光路295號前,往南,2016-11-19,11:00:00,1,349.0,365.0,32.0,317.0,0.0,24.99,8.3,141.37
VS6TI00,瑞光路295號前,往南,2016-11-19,12:00:00,1,354.0,367.5,27.0,327.0,0.0,25.87,8.52,136.33
VS6TI00,瑞光路295號前,往南,2016-11-19,13:00:00,1,382.0,395.5,27.0,355.0,0.0,26.420002,9.03,129.22
VS6TI00,瑞光路295號前,往南,2016-11-19,14:00:00,1,382.0,395.5,27.0,355.0,0.0,26.06,8.77,125.72
VS6TI00,瑞光路295號前,往南,2016-11-19,15:00:00,1,399.0,413.5,29.0,370.0,0.0,25.08,9.3,126.22
VS6TI00,瑞光路295號前,往南,2016-11-19,16:00:00,1,432.0,449.5,35.0,397.0,0.0,24.629997,10.85,114.12
VS6TI00,瑞光路295號前,往南,2016-11-19,17:00:00,1,438.0,458.0,40.0,398.0,0.0,24.88,10.58,116.65
VS6TI00,瑞光路295號前,往南,2016-11-19,18:00:00,1,413.0,426.5,27.0,386.0,0.0,25.059998,9.82,116.53
VS6TI00,瑞光路295號前,往南,2016-11-19,19:00:00,1,308.0,363.96225,27.0,281.0,0.0,25.05,9.16,119.16
VS6TI00,瑞光路295號前,往南,2016-11-19,20:00:00,1,286.0,295.5,19.0,267.0,0.0,25.44,6.7,152.65
VS6TI00,瑞光路295號前,往南,2016-11-19,21:00:00,1,314.0,328.0,28.0,286.0,0.0,25.17,8.18,144.87
VS6TI00,瑞光路295號前,往南,2016-11-19,22:00:00,1,282.0,291.5,19.0,263.0,0.0,25.3,6.78,151.77
VS6TI00,瑞光路295號前,往南,2016-11-19,23:00:00,1,212.0,220.5,17.0,195.0,0.0,26.42,4.78,177.47
VS6TI00,瑞光路295號前,往南,2016-11-20,00:00:00,1,118.0,124.5,13.0,105.0,0.0,25.44,2.58,216.22
VS6TI00,瑞光路295號前,往南,2016-11-20,01:00:00,1,69.0,70.0,2.0,67.0,0.0,25.42,1.33,238.97
VS6TI00,瑞光路295號前,往南,2016-11-20,02:00:00,1,55.0,56.0,2.0,53.0,0.0,23.910002,1.07,244.17
VS6TI00,瑞光路295號前,往南,2016-11-20,03:00:00,1,36.0,36.5,1.0,35.0,0.0,26.61,0.6,247.1
VS6TI00,瑞光路295號前,往南,2016-11-20,04:00:00,1,36.0,37.5,3.0,33.0,0.0,26.11,0.65,249.0
VS6TI00,瑞光路295號前,往南,2016-11-20,05:00:00,1,26.0,26.0,0.0,26.0,0.0,27.46,0.42,250.0
VS6TI00,瑞光路295號前,往南,2016-11-20,06:00:00,1,31.0,31.0,0.0,31.0,0.0,26.94,0.53,248.08
VS6TI00,瑞光路295號前,往南,2016-11-20,07:00:00,1,51.0,52.5,3.0,48.0,0.0,27.47,1.02,247.12
VS6TI00,瑞光路295號前,往南,2016-11-20,08:00:00,1,110.0,118.0,16.0,94.0,0.0,26.01,2.48,225.23
VS6TI00,瑞光路295號前,往南,2016-11-20,09:00:00,1,153.0,162.5,19.0,134.0,0.0,26.29,3.37,198.82
VS6TI00,瑞光路295號前,往南,2016-11-20,10:00:00,1,217.0,229.5,25.0,192.0,0.0,27.87,4.92,174.98
VS6TI00,瑞光路295號前,往南,2016-11-20,11:00:00,1,258.0,270.0,24.0,234.0,0.0,26.13,6.2,158.6
VS6TI00,瑞光路295號前,往南,2016-11-20,12:00:00,1,298.0,311.5,27.0,271.0,0.0,25.26,7.07,144.53
VS6TI00,瑞光路295號前,往南,2016-11-20,13:00:00,1,318.0,331.5,27.0,291.0,0.0,25.33,7.42,146.33
VS6TI00,瑞光路295號前,往南,2016-11-20,14:00:00,1,326.0,337.5,23.0,303.0,0.0,26.350002,7.48,140.67
VS6TI00,瑞光路295號前,往南,2016-11-20,15:00:00,1,341.0,350.5,19.0,322.0,0.0,25.28,8.05,139.02
VS6TI00,瑞光路295號前,往南,2016-11-20,16:00:00,1,337.0,352.5,31.0,306.0,0.0,26.11,8.0,133.23
VS6TI00,瑞光路295號前,往南,2016-11-20,17:00:00,1,328.0,344.0,32.0,296.0,0.0,24.91,8.15,139.45
VS6TI00,瑞光路295號前,往南,2016-11-20,18:00:00,1,384.0,399.0,30.0,354.0,0.0,23.29,10.02,125.92
VS6TI00,瑞光路295號前,往南,2016-11-20,19:00:00,1,396.0,425.17242,30.0,366.0,0.0,23.05,11.41,107.4
VS6TI00,瑞光路295號前,往南,2016-11-20,20:00:00,1,339.0,351.5,25.0,314.0,0.0,22.08,11.13,132.0
VS6TI00,瑞光路295號前,往南,2016-11-20,21:00:00,1,302.0,309.5,15.0,287.0,0.0,24.18,7.3,151.02
VS6TI00,瑞光路295號前,往南,2016-11-20,22:00:00,1,219.0,226.5,15.0,204.0,0.0,24.37,5.45,172.73
VS6TI00,瑞光路295號前,往南,2016-11-20,23:00:00,1,140.0,148.5,17.0,123.0,0.0,26.37,3.27,212.57
