EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-10-12,09:00:00,2,423.0,1189.5652,66.0,357.0,0.0,53.346004,8.1,108.79
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-10-12,10:00:00,2,970.0,1142.7273,155.0,815.0,0.0,47.740498,8.335,103.61
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-10-12,11:00:00,2,1494.0,1802.8846,137.0,1357.0,0.0,46.25241,5.53,124.825
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-10-12,12:00:00,2,952.0,1032.5,161.0,791.0,0.0,51.860123,6.34,110.354996
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-10-12,13:00:00,2,808.0,868.5,121.0,687.0,0.0,54.193813,5.2,128.035
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-10-12,14:00:00,2,808.0,874.13794,74.0,734.0,0.0,53.321384,5.37,123.89
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-10-12,15:00:00,2,935.0,1016.5,163.0,772.0,0.0,54.69965,6.245,110.965
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,00:00:00,2,72.0,74.5,5.0,67.0,0.0,55.2225,0.45,247.35
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,01:00:00,2,32.0,34.0,4.0,28.0,0.0,53.50125,0.25,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,02:00:00,2,11.0,11.5,1.0,10.0,0.0,50.272728,0.1,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,03:00:00,2,17.0,17.5,1.0,16.0,0.0,55.828236,0.12,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,04:00:00,2,23.0,23.5,1.0,22.0,0.0,44.912174,0.14500001,249.54001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,05:00:00,2,16.0,16.0,0.0,16.0,0.0,61.186874,0.135,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,06:00:00,2,53.0,55.5,5.0,48.0,0.0,49.88943,0.39,248.215
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,07:00:00,2,170.0,179.0,18.0,152.0,0.0,61.114,0.96000004,235.025
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,08:00:00,2,454.0,489.5,71.0,383.0,0.0,50.07824,4.29,174.14
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,09:00:00,2,527.0,574.65515,57.0,470.0,0.0,49.561157,3.81,156.975
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,10:00:00,2,503.0,538.5,71.0,432.0,0.0,53.273243,5.16,161.925
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,11:00:00,2,493.0,523.5,61.0,432.0,0.0,53.638275,2.96,172.73999
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,12:00:00,2,395.0,416.0,42.0,353.0,0.0,47.913265,2.8200002,187.13501
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,13:00:00,2,379.0,389.0,20.0,359.0,0.0,53.497257,2.125,193.505
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,14:00:00,2,353.0,380.17242,29.0,324.0,0.0,51.938503,2.15,194.8
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,15:00:00,2,346.0,421.73077,39.0,307.0,0.0,48.457397,2.56,192.95
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,16:00:00,2,363.0,388.5,51.0,312.0,0.0,47.51091,2.5149999,194.54501
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,17:00:00,2,329.0,339.0,20.0,309.0,0.0,44.82903,2.0,201.775
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,18:00:00,2,622.0,661.5,79.0,539.0,0.0,55.730843,8.025,151.48001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,19:00:00,2,865.0,973.4138,171.0,684.0,-1.0,47.602062,18.49,108.45
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,20:00:00,2,565.0,627.2241,97.0,468.0,0.0,44.437878,14.15,152.14
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,21:00:00,2,122.0,399.4737,9.0,113.0,0.0,56.19115,2.545,177.575
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,22:00:00,2,140.0,263.63635,10.0,130.0,0.0,61.884,1.345,212.745
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-11,23:00:00,2,97.0,146.34146,6.0,91.0,0.0,45.814945,0.855,239.81
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,00:00:00,2,16.0,47.727272,3.0,13.0,0.0,45.753124,0.31,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,01:00:00,2,11.0,30.000002,1.0,10.0,0.0,44.18182,0.26,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,02:00:00,2,14.0,15.818181,1.0,13.0,0.0,54.139996,0.13,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,03:00:00,2,23.0,23.5,1.0,22.0,0.0,53.393482,0.175,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,04:00:00,2,22.0,22.0,0.0,22.0,0.0,50.04773,0.15,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,05:00:00,2,22.0,23.0,2.0,20.0,0.0,55.728184,0.16499999,249.54001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,06:00:00,2,54.0,57.0,6.0,48.0,0.0,56.09593,0.40499997,248.08499
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,07:00:00,2,198.0,205.5,15.0,183.0,0.0,56.013638,1.125,230.275
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,08:00:00,2,548.0,575.5,55.0,493.0,0.0,47.441135,4.935,157.065
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,09:00:00,2,206.0,556.95654,15.0,191.0,0.0,50.44408,3.6100001,157.135
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,10:00:00,2,597.0,682.36365,57.0,540.0,0.0,57.412884,4.59,130.655
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,11:00:00,2,455.0,548.6539,41.0,414.0,0.0,51.94174,3.24,162.6
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,12:00:00,2,506.0,528.5,45.0,461.0,0.0,51.115456,2.975,166.86499
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,13:00:00,2,416.0,433.5,35.0,381.0,0.0,51.2006,3.04,182.1
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,14:00:00,2,465.0,503.79312,44.0,421.0,0.0,56.8,2.59,170.54001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-10-12,15:00:00,2,543.0,569.5,53.0,490.0,0.0,49.074493,3.35,160.39
